elapsed_sec,frame_ms,draw_calls
7.222,16.407,161
7.239,16.885,156
7.255,16.711,156
7.272,16.633,152
7.288,16.511,151
7.305,16.861,153
7.322,16.540,152
7.339,16.822,152
7.355,16.625,154
7.372,16.594,153
7.389,16.810,140
7.405,16.547,138
7.422,16.630,137
7.439,16.962,138
7.455,16.596,139
7.472,16.691,137
7.489,16.511,138
7.505,16.685,132
7.547,41.669,138
7.554,7.070,126
7.564,10.407,126
7.574,9.565,127
7.589,14.742,120
7.605,16.608,117
7.622,16.667,119
7.639,16.820,122
7.655,16.598,122
7.672,16.789,119
7.689,16.745,123
7.705,16.437,125
7.722,16.718,119
7.739,16.741,113
7.756,16.801,112
7.772,16.518,109
7.789,16.671,111
7.806,16.681,105
7.822,16.851,107
7.839,16.502,106
7.856,16.817,102
7.872,16.756,106
7.889,16.676,105
7.906,16.497,96
7.922,16.795,94
7.939,16.544,94
7.956,16.833,93
7.972,16.647,88
7.989,16.533,92
8.006,16.872,92
8.022,16.562,90
8.039,16.665,94
8.056,16.731,94
8.072,16.607,88
8.089,16.802,83
8.106,16.718,82
8.123,16.671,78
8.139,16.503,76
8.156,16.931,74
8.173,16.573,76
8.189,16.817,74
8.206,16.467,72
8.223,16.854,75
8.239,16.604,75
8.256,16.639,65
8.273,16.676,65
8.289,16.597,62
8.306,16.687,61
8.323,16.752,63
8.340,16.770,67
8.356,16.516,66
8.373,16.928,63
8.391,17.590,65
8.406,15.693,62
8.423,16.511,53
8.440,16.892,53
8.456,16.738,49
8.473,16.462,49
8.490,17.089,51
8.506,16.298,48
8.523,16.618,49
8.540,16.890,47
8.556,16.477,48
8.573,17.091,48
8.590,16.200,48
8.606,16.833,40
8.623,16.511,38
8.640,16.752,38
8.656,16.685,38
8.673,17.115,40
8.690,16.493,43
8.706,16.559,40
8.723,16.546,40
8.740,16.946,40
8.757,16.706,35
8.773,16.385,33
8.790,16.764,30
8.806,16.564,26
8.823,16.820,26
8.840,16.570,28
8.856,16.648,27
8.873,16.692,27
8.890,16.871,25
8.907,16.633,25
8.923,16.709,25
8.940,16.673,24
8.957,16.540,18
8.973,16.653,18
8.990,16.730,18
9.007,16.792,19
9.023,16.608,22
9.040,16.582,22
9.057,16.708,19
9.073,16.754,19
9.090,16.665,19
9.107,16.631,14
9.123,16.709,11
9.140,16.643,11
9.157,16.676,11
9.173,16.661,11
9.190,16.650,12
9.207,16.850,12
9.224,16.716,10
9.240,16.542,10
9.257,16.807,10
9.274,16.992,10
9.290,16.346,7
9.307,16.499,4
9.324,16.768,4
9.340,16.889,4
9.357,16.666,4
9.374,16.525,4
9.390,16.894,4
9.407,16.631,3
9.424,16.444,3
9.440,16.694,3
9.457,16.882,3
9.474,16.473,0
9.490,16.823,0
9.507,16.576,0
9.524,16.648,0
9.540,16.658,0
9.557,16.906,0
9.574,16.696,0
9.590,16.539,0
9.607,17.033,0
9.624,16.285,0
9.641,16.805,0
9.657,16.612,0
9.674,16.600,0
9.690,16.705,0
9.707,16.698,0
9.724,16.816,0
9.740,16.490,0
9.757,16.686,0
9.774,16.997,0
9.791,16.384,0
9.807,16.887,0
9.824,16.683,0
9.841,16.650,0
9.858,17.049,0
9.874,15.872,0
9.891,17.008,0
9.907,16.602,0
9.924,16.796,0
9.941,16.865,0
9.957,16.482,0
9.974,16.561,0
9.991,16.714,0
10.007,16.646,0
10.024,16.804,0
10.041,16.567,0
10.058,16.908,0
10.074,16.553,0
10.091,16.683,0
10.108,16.791,0
10.124,16.625,0
10.141,16.514,0
10.158,16.703,0
10.174,16.752,0
10.191,16.595,0
10.208,16.676,0
10.224,16.690,0
10.241,17.068,0
10.258,16.271,0
10.274,16.820,0
10.291,16.726,0
10.308,16.659,0
10.324,16.572,0
10.341,16.749,0
10.358,16.808,0
10.374,16.423,0
10.391,16.664,0
10.408,17.068,0
10.424,16.338,0
10.441,16.676,0
10.458,16.822,0
10.474,16.496,0
10.491,16.973,0
10.508,16.663,0
10.525,16.658,0
10.541,16.684,0
10.558,16.678,0
10.575,16.546,0
10.591,16.759,0
10.608,16.528,0
10.625,16.635,0
10.642,17.420,0
10.658,15.646,0
10.675,17.255,0
10.691,16.229,0
10.708,17.135,0
10.725,16.470,0
10.741,16.667,0
10.758,16.675,0
10.775,16.658,0
10.791,16.726,0
10.808,16.651,0
10.825,16.663,0
10.842,16.954,0
10.858,16.428,0
10.875,16.689,0
10.891,16.661,0
10.908,16.742,0
10.925,16.869,0
10.942,16.634,0
10.958,16.429,0
10.975,16.768,0
10.992,17.163,0
11.008,16.103,0
11.025,16.760,0
11.042,16.595,0
11.058,16.689,0
11.075,16.699,0
11.092,16.933,0
11.109,16.887,0
11.125,16.205,0
11.142,16.659,0
11.158,16.838,0
11.175,16.565,0
11.192,16.681,0
11.208,16.765,0
11.225,16.716,0
11.242,16.561,0
11.259,17.260,0
11.275,16.392,0
11.292,16.389,0
11.308,16.685,0
11.325,16.762,0
11.342,16.857,0
11.358,16.398,0
11.375,16.843,0
11.392,16.613,0
11.409,16.904,0
11.425,16.527,0
11.442,16.804,0
11.459,16.519,0
11.475,16.639,0
11.492,16.615,0
11.509,16.819,0
11.525,16.535,0
11.542,16.681,0
11.559,16.772,0
11.575,16.617,0
11.592,16.684,0
11.609,16.649,0
11.625,16.686,0
11.642,16.723,0
11.659,16.573,0
11.676,16.969,0
11.692,16.473,0
11.709,16.651,0
11.726,17.277,0
11.742,15.993,0
11.759,17.031,0
11.776,16.707,0
11.793,17.028,0
11.809,16.052,0
11.826,16.726,0
11.843,17.166,0
11.859,16.094,0
11.876,16.930,0
11.892,16.584,0
11.909,16.807,0
11.926,16.736,0
11.943,16.696,0
11.959,16.498,0
11.976,16.535,0
11.992,16.768,0
12.009,16.750,0
12.026,16.902,0
12.043,16.614,0
12.059,16.532,0
12.076,16.527,0
12.093,16.833,0
12.109,16.548,0
12.126,16.606,0
12.142,16.766,0
12.159,16.671,0
12.176,16.705,0
12.193,16.853,0
12.209,16.537,0
12.226,16.635,0
12.243,16.666,0
12.259,16.801,0
12.276,16.789,0
12.293,16.621,0
12.309,16.572,0
12.326,16.700,0
12.343,16.611,0
12.359,16.784,0
12.376,16.696,0
12.393,16.540,0
12.409,16.664,0
12.426,16.885,0
12.443,16.439,0
12.459,16.721,0
12.476,17.000,0
12.493,16.772,0
12.510,16.527,0
12.526,16.696,0
12.543,16.447,0
12.559,16.679,0
12.576,16.848,0
12.593,16.560,0
12.610,16.715,0
12.626,16.576,0
12.643,16.872,0
12.660,16.808,0
12.676,16.572,0
12.693,16.596,0
12.710,16.845,0
12.726,16.452,0
12.743,16.619,0
12.760,16.632,0
12.776,16.856,0
12.793,16.575,0
12.810,16.636,0
12.826,16.695,0
12.843,16.760,0
12.860,16.802,0
12.876,16.494,0
12.893,16.755,0
12.910,16.586,0
12.927,16.798,0
12.943,16.656,0
12.960,16.744,0
12.976,16.522,0
12.993,16.812,0
13.010,16.749,0
13.027,16.633,0
13.043,16.576,0
13.060,16.751,0
13.077,16.673,0
13.093,16.571,0
13.110,16.757,0
13.127,16.759,0
13.143,16.489,0
13.160,16.775,0
13.177,16.770,0
13.193,16.502,0
13.210,16.812,0
13.227,16.732,0
13.243,16.470,0
13.260,16.750,0
13.277,16.865,0
13.294,16.768,0
13.310,16.406,0
13.327,16.813,0
13.344,16.821,0
13.361,16.948,0
13.377,15.918,0
13.393,16.846,0
13.412,18.301,0
13.427,15.103,0
13.444,17.041,0
13.460,16.367,0
13.477,16.884,0
13.494,16.485,0
13.510,16.645,0
13.527,16.697,0
13.544,17.255,0
13.560,15.853,0
13.577,17.061,0
13.594,16.849,0
13.610,16.531,0
13.627,16.496,0
13.644,16.761,0
13.660,16.586,0
13.677,16.742,0
13.694,16.905,0
13.712,17.557,0
13.727,15.650,0
13.744,16.964,0
13.761,16.451,0
13.777,16.544,0
13.794,16.720,0
13.810,16.611,0
13.828,17.268,0
13.844,15.798,0
13.861,17.043,0
13.877,16.623,0
13.894,16.689,0
13.911,16.666,0
13.927,16.901,0
13.944,16.417,0
13.961,16.717,0
13.977,16.664,0
13.994,16.861,0
14.011,16.621,0
14.027,16.692,0
14.044,16.546,0
14.061,16.783,0
14.077,16.678,0
14.095,17.670,0
14.111,15.790,0
14.127,16.480,0
14.144,16.710,0
14.161,16.746,0
14.178,17.165,0
14.194,15.885,0
14.211,17.251,0
14.227,16.183,0
14.244,17.105,0
14.261,16.173,0
14.278,17.201,0
14.294,16.625,0
14.311,16.465,0
14.328,16.711,0
14.344,16.738,0
14.361,16.584,0
14.378,16.720,0
14.394,16.605,0
14.411,16.742,0
14.428,16.661,0
14.445,16.916,0
14.461,16.439,0
14.478,16.595,0
14.495,17.013,0
14.511,16.495,0
14.528,16.618,0
14.544,16.611,0
14.561,16.771,0
14.578,16.808,0
14.595,16.637,0
14.611,16.634,0
14.628,16.609,0
14.644,16.683,0
14.661,16.722,0
14.678,16.776,0
14.695,16.651,0
14.711,16.547,0
14.728,16.707,0
14.745,16.780,0
14.761,16.539,0
14.778,16.893,0
14.795,16.445,0
14.812,17.254,0
14.828,16.192,0
14.845,16.641,0
14.861,16.643,0
14.878,16.977,0
14.895,17.041,0
14.911,16.039,0
14.928,16.973,0
14.945,16.669,0
14.962,16.892,0
14.978,16.148,0
14.995,16.710,0
15.011,16.727,0
15.028,16.722,0
15.045,16.712,0
15.061,16.605,0
15.078,16.722,0
15.095,16.967,0
15.112,16.345,0
15.128,16.719,0
15.145,16.924,0
15.162,16.442,0
15.178,16.590,0
15.195,16.750,0
15.212,16.672,0
15.228,16.689,0
15.245,16.735,0
15.262,16.607,0
15.278,16.672,0
15.295,16.913,0
15.312,16.611,0
15.328,16.509,0
15.345,16.670,0
15.362,16.707,0
15.378,16.605,0
15.395,16.715,0
15.412,16.747,0
15.428,16.677,0
15.445,16.663,0
15.462,16.659,0
15.479,16.770,0
15.495,16.583,0
15.512,16.907,0
15.529,17.071,0
15.545,16.046,0
15.562,16.683,0
15.579,16.735,0
15.595,16.815,0
15.612,16.719,0
15.629,16.505,0
15.645,16.634,0
15.662,16.963,0
15.679,16.428,0
15.695,16.672,0
15.712,16.761,0
15.729,16.771,0
15.745,16.500,0
15.762,16.930,0
15.779,16.559,0
15.795,16.602,0
15.812,16.629,0
15.829,16.677,0
15.846,17.133,0
15.862,16.401,0
15.879,16.719,0
15.896,16.625,0
15.912,16.526,0
15.929,16.705,0
15.946,16.772,0
15.962,16.566,0
15.979,16.716,0
15.996,16.735,0
16.012,16.804,0
16.029,16.504,0
16.046,17.178,0
16.063,16.444,0
16.079,16.395,0
16.096,16.710,0
16.112,16.637,0
16.129,16.694,0
16.146,16.659,0
16.162,16.716,0
16.179,16.694,0
16.196,16.592,0
16.212,16.742,0
16.229,16.895,0
16.246,16.459,0
16.262,16.700,0
16.279,16.620,0
16.296,16.706,0
16.313,16.748,0
16.329,16.656,0
16.346,16.744,0
16.363,16.709,0
16.379,16.686,0
16.396,16.535,0
16.413,16.825,0
16.429,16.676,0
16.446,16.531,0
16.463,16.701,0
16.479,16.771,0
16.496,16.786,0
16.513,16.652,0
16.529,16.688,0
16.546,16.523,0
16.563,16.962,0
16.580,16.569,0
16.597,17.085,0
16.613,16.071,0
16.630,16.830,0
16.646,16.864,0
16.663,16.595,0
16.679,16.499,0
16.696,16.667,0
16.713,16.627,0
16.730,16.728,0
16.746,16.714,0
16.763,16.826,0
16.780,16.722,0
16.797,17.139,0
16.813,15.889,0
16.830,16.884,0
16.846,16.569,0
16.863,17.062,0
16.880,16.687,0
16.896,16.466,0
16.913,16.794,0
16.930,16.659,0
16.947,16.638,0
16.963,16.628,0
16.980,16.819,0
16.997,16.681,0
17.015,17.827,0
