elapsed_sec,frame_ms,draw_calls
4.449,11.388,571
4.458,9.510,563
4.469,10.957,562
4.482,12.271,562
4.494,12.212,567
4.505,11.236,567
4.514,9.315,567
4.524,9.650,565
4.534,10.545,567
4.545,10.689,569
4.556,11.261,567
4.566,9.246,561
4.577,11.602,562
4.590,12.895,567
4.601,10.732,566
4.614,13.315,561
4.624,9.468,551
4.635,11.135,550
4.648,12.726,550
4.658,10.730,555
4.667,9.051,558
4.676,8.250,560
4.687,10.910,561
4.695,8.919,557
4.706,10.712,557
4.718,11.792,559
4.730,11.603,558
4.740,10.464,551
4.753,13.115,559
4.765,11.401,558
4.778,13.098,556
4.788,10.728,553
4.796,7.475,544
4.808,11.930,544
4.818,10.576,540
4.829,10.727,547
4.837,8.264,545
4.846,8.558,545
4.857,11.464,544
4.868,10.549,541
4.879,11.519,546
4.888,8.806,543
4.898,9.605,542
4.906,8.170,537
4.916,10.017,537
4.927,10.634,543
4.935,8.701,544
4.946,10.672,542
4.956,9.987,539
4.966,10.287,529
4.976,9.894,524
4.985,9.021,526
4.995,9.469,528
5.004,8.889,533
5.017,13.580,535
5.028,10.943,539
5.038,10.056,536
5.050,11.801,534
5.062,12.047,536
5.071,8.960,534
5.081,9.823,531
5.092,11.592,533
5.103,11.125,536
5.114,10.652,536
5.125,10.986,529
5.136,10.618,529
5.145,9.356,519
5.156,10.642,519
5.167,11.319,525
5.180,12.575,527
5.189,9.542,526
5.200,11.232,523
5.213,12.430,521
5.225,12.141,523
5.236,10.857,522
5.247,11.494,522
5.257,9.362,516
5.266,9.704,520
5.276,10.025,521
5.287,10.638,522
5.297,9.652,518
5.307,10.373,512
5.316,9.169,505
5.327,10.975,504
5.339,11.519,508
5.349,10.146,513
5.357,7.877,512
5.369,11.887,514
5.380,11.673,513
5.390,10.090,508
5.402,11.842,511
5.415,12.271,510
5.423,8.275,506
5.433,10.212,506
5.444,11.049,511
5.455,11.094,511
5.465,9.364,508
5.476,11.646,506
5.486,9.564,496
5.497,10.797,495
5.506,9.794,496
5.516,9.905,499
5.528,12.186,498
5.541,12.310,498
5.556,14.836,499
5.567,11.573,497
5.578,10.481,497
5.588,10.479,495
5.597,8.714,491
5.607,10.411,497
5.618,10.892,496
